# This table is a summary of properties of many of the known transiting exoplanets.
#
# name = name of the planet
# RA = right ascension of the system on the sky (in degrees)
# Dec = declination of the system on the sky (in degrees)
# magnitude_J = brightness of the star (in J-band, 1.1-1.3 microns; magnitudes)
# distance = distance to the star, in parsecs
# stellar_mass = mass of the star, in solar masses
# stellar_radius = radius of the star, in solar radii
# stellar_luminosity = luminosity of the star, relative to the Sun
# stellar_temperature = temperature of the star, in K
# planet_mass = mass of planet, in Earth masses
# planet_radius = radius of planet, in Earth radii
# planet_period = period of planet, in days
# planet_semimajor = semimajor axis of planet's orbit, in AU
# planet_heatreceived = the flux of heat received by the planet, in W/m^2 (for comparison, Earth receives 1360 W/m^2 from the Sun)
# transit_depth = the fraction of starlight the planet blocks
#

           name |         RA |        Dec | magnitude_J | distance | stellar_mass | stellar_radius | stellar_luminosity | stellar_temperature | planet_mass |  planet_radius | planet_period | planet_semimajor | planet_heatreceived |     transit_depth
      HAT-P-14b | 260.116169 |  38.242165 |       9.094 |    205.0 |         1.39 |           1.47 |      3.67366083264 |              6600.0 |     709.367 |          12.89 |      4.627669 |  0.0606334911824 |        1367533.3948 |  0.00646345505016
      HAT-P-15b |  66.248026 |  39.460636 |      10.194 |    190.0 |         1.01 |           1.08 |      1.00446096427 |              5568.0 |     618.471 |         12.016 |     10.863502 |  0.0962256560247 |       148462.009597 |      0.0104055705
      HAT-P-16b |   9.573181 |  42.463078 |        9.85 |    235.0 |         1.22 |           1.24 |      1.98102864307 |              6158.0 |    1332.605 |         14.448 |       2.77596 |  0.0413439970707 |       1586097.44276 |   0.0114121024888
      HAT-P-17b | 324.536396 |  30.488716 |       9.017 |     90.0 |         0.86 |           0.84 |     0.478806859362 |              5246.0 |      169.71 |         11.321 |     10.338523 |  0.0883965795109 |       83859.7329557 |   0.0152687883924
      HAT-P-18b | 256.346473 |  33.012512 |      10.822 |    166.0 |         0.77 |           0.75 |     0.268201695894 |              4803.0 |       62.61 |         11.153 |      5.508023 |  0.0559419045261 |       117287.318331 |   0.0185889322802
      HAT-P-19b |   9.516742 |  34.711575 |      11.095 |    215.0 |         0.84 |           0.82 |     0.373524018794 |              4990.0 |      92.802 |         12.689 |      4.008778 |  0.0466731261303 |       234665.251218 |   0.0201289285209
       HAT-P-1b | 344.445104 |  38.674953 |       9.156 |    139.0 |         1.15 |           1.17 |      1.56842987406 |              5980.0 |   166.86075 |         14.785 |    4.46529976 |  0.0536075506896 |        746925.36564 |   0.0134234608929
      HAT-P-20b | 111.916469 |   24.33663 |       9.276 |     70.0 |         0.76 |           0.69 |     0.190164256901 |              4595.0 |    2302.899 |          9.718 |      2.875317 |  0.0358404855157 |       202602.665443 |   0.0166743600747
      HAT-P-21b | 171.274955 |  41.027954 |      10.503 |    254.0 |         0.95 |            1.1 |      1.05705992045 |              5588.0 |    1291.289 |         11.478 |      4.124481 |  0.0491061107062 |       599918.924033 |  0.00915251897989
      HAT-P-22b | 155.681719 |  50.128345 |       8.293 |     82.0 |         0.92 |           1.04 |     0.765797983633 |              5302.0 |     682.352 |         12.106 |       3.21222 |  0.0413495773105 |       612965.599698 |   0.0113901181281
      HAT-P-23b | 306.123854 |  16.762152 |      11.103 |    393.0 |          1.1 |           1.09 |      1.27681363231 |              5885.0 |       658.0 |          13.72 |    1.21288287 |  0.0230418845491 |        3291209.6733 |   0.0133183000367
      HAT-P-24b | 108.825058 |  14.262599 |      10.797 |    396.0 |         1.19 |           1.32 |      2.57520722804 |              6373.0 |     217.704 |         13.922 |       3.35524 |  0.0465280398941 |       1627971.13631 |  0.00935080421855
      HAT-P-25b |  48.435419 |  25.197405 |      11.319 |    297.0 |         1.01 |           0.96 |      0.75558246464 |              5500.0 |     180.202 |         13.339 |      3.652836 |  0.0466954470897 |       474238.520305 |   0.0162292199695
      HAT-P-26b | 213.156383 |   4.059997 |       10.08 |    134.0 |         0.82 |           0.79 |      0.37209658158 |              5079.0 |      18.751 |          6.333 |      4.234516 |  0.0479779722159 |       221225.882085 |  0.00540204703393
      HAT-P-27b | 222.767436 |   5.947368 |      10.626 |    204.0 |         0.94 |            0.9 |     0.572634017171 |              5300.0 |      197.05 |          11.43 |      3.039577 |  0.0410315036389 |       465485.665161 |   0.0135581679563
      HAT-P-28b |  13.000766 |  34.728413 |      11.561 |    395.0 |         1.02 |            1.1 |      1.12841112569 |              5680.0 |     198.953 |         13.585 |      3.257215 |  0.0431213034638 |       830515.288562 |   0.0128211648094
      HAT-P-29b |  33.131142 |  51.778759 |      10.648 |    322.0 |         1.21 |           1.22 |      1.83071826576 |              6087.0 |     247.261 |         12.408 |      5.723186 |  0.0663769530511 |       568657.696532 |   0.0086951579586
       HAT-P-2b | 245.151489 |  41.048084 |       7.796 |   135.32 |         1.36 |           1.64 |      3.77206288359 |              6290.0 |     2888.95 |         12.969 |     5.6334729 |  0.0685606869136 |       1098228.31403 |  0.00525676850355
      HAT-P-30b | 123.949894 |   5.836719 |       9.442 |    193.0 |         1.24 |           1.22 |      2.10607156997 |              6304.0 |     225.968 |          15.02 |      2.810595 |  0.0420954693709 |        1626546.3572 |   0.0127413008844
      HAT-P-31b | 271.537705 |  26.426662 |      10.423 |    354.0 |         1.22 |           1.36 |      2.24227917708 |              6065.0 |      689.98 |          11.99 |      5.005425 |   0.056286019317 |       968618.245673 |  0.00653362368765
      HAT-P-33b | 113.184212 |  33.835052 |      10.263 |    387.0 |         1.38 |           1.64 |      4.16042356046 |              6446.0 |     242.176 |         18.898 |      3.474474 |  0.0500287103619 |       2274903.42175 |   0.0111618854413
      HAT-P-34b | 303.195342 |  18.104868 |        9.46 |    257.0 |         1.39 |           1.53 |      3.61205529347 |              6442.0 |    1057.694 |         13.417 |      5.452654 |  0.0674483591029 |        1086614.8733 |  0.00646430062936
      HAT-P-35b | 123.250764 |   4.787023 |      11.358 |    535.0 |         1.24 |           1.44 |      2.56562668386 |              6096.0 |     334.979 |          14.93 |      3.646706 |  0.0498873442856 |       1410836.62659 |  0.00903624919197
      HAT-P-36b | 188.266255 |  44.915352 |      11.046 |    317.0 |         1.02 |            1.1 |      1.03603203163 |              5560.0 |      582.24 |         14.168 |      1.327347 |  0.0238369245719 |       2495380.46519 |   0.0139452175473
      HAT-P-37b | 284.296064 |  51.269138 |      12.092 |    411.0 |         0.93 |           0.88 |     0.634899154315 |              5500.0 |     371.528 |         13.204 |      2.797436 |  0.0381390793151 |       597349.316715 |   0.0189251467008
      HAT-P-38b |  35.383234 |  32.246151 |      10.989 |    249.0 |         0.89 |           0.92 |     0.612030601111 |              5330.0 |      84.857 |          9.247 |      4.640382 |  0.0520654979082 |       308984.801485 |  0.00849218855178
      HAT-P-39b | 113.758247 |  17.830082 |      11.424 |    642.0 |          1.4 |           1.62 |      4.01941239179 |              6430.0 |     190.372 |         17.609 |       3.54387 |  0.0507746024222 |       2133700.88139 |  0.00993191343115
       HAT-P-3b | 206.094121 |  48.028667 |       9.936 |    138.0 |         0.92 |            0.8 |     0.414441906826 |              5185.0 |      187.83 |           9.27 |      2.899736 |  0.0386524613816 |       379641.242216 |   0.0112868580194
      HAT-P-40b | 335.512861 |  45.457378 |      10.367 |    501.0 |         1.51 |           2.21 |      5.97981173027 |              6080.0 |     195.457 |         19.392 |      4.457243 |   0.060839495037 |       2210957.23106 |  0.00647223421908
      HAT-P-41b | 297.322651 |   4.672421 |      10.006 |    344.0 |         1.42 |           1.68 |      4.21609746835 |              6390.0 |     254.253 |         18.887 |      2.694047 |  0.0424991067202 |       3194589.58341 |   0.0106243156421
      HAT-P-42b | 135.344391 |    6.09723 |       10.96 |    447.0 |         1.18 |           1.53 |      2.28153309617 |              5743.0 |     331.801 |         14.348 |      4.641878 |  0.0574876309653 |       944804.561905 |  0.00739253589638
      HAT-P-43b | 128.925737 |  10.206653 |      12.146 |    542.0 |         1.05 |            1.1 |      1.10085419491 |              5645.0 |     210.395 |         14.359 |      3.332687 |  0.0441954996355 |       771325.586511 |    0.014323745248
      HAT-P-44b | 213.144074 |  47.014687 |      11.729 |    363.0 |         0.94 |           0.95 |     0.635623162335 |              5295.0 |     111.871 |         13.922 |      4.301219 |  0.0507592567626 |       337623.943648 |   0.0180530097179
      HAT-P-45b | 274.373238 |  -3.381036 |       10.73 |    305.0 |         1.26 |           1.32 |      2.50640558033 |              6330.0 |     283.492 |         15.984 |      3.128992 |  0.0451776218497 |       1680616.60188 |   0.0123258434369
      HAT-P-46b | 270.444201 |  -2.970947 |       10.33 |    296.0 |         1.28 |            1.4 |       2.4634877456 |              6120.0 |     156.684 |         14.392 |      4.463129 |  0.0576810792802 |       1013322.49272 |  0.00888341184542
      HAT-P-49b | 305.441397 |  26.692652 |        9.55 |    322.0 |         1.54 |           1.83 |      6.49124983262 |              6820.0 |     549.823 |         15.838 |      2.691548 |  0.0436556114298 |        4661355.2914 |  0.00629639645107
       HAT-P-4b | 229.991354 |  36.229664 |        10.1 |    314.0 |         1.26 |            1.6 |      2.70469984229 |              5860.0 |     213.255 |          14.28 |      3.056536 |  0.0449395316159 |       1832846.20577 |  0.00669591631478
      HAT-P-50b | 118.063411 |   12.13941 |      10.816 |    497.0 |         1.27 |            1.7 |       4.0274027662 |              6280.0 |    429.0705 |         14.437 |     3.1220109 |  0.0449023300169 |       2733703.07642 |  0.00606247049323
      HAT-P-51b |   21.06519 |  32.810764 |      12.039 |    470.0 |         0.98 |           1.04 |     0.854323900913 |              5449.0 |    98.20947 |         14.493 |     4.2180278 |  0.0506834585046 |       455149.535979 |   0.0163246347648
      HAT-P-52b |  42.721679 |  29.022396 |      12.195 |    385.0 |         0.89 |           0.89 |     0.491899881831 |              5131.0 |   259.98494 |          11.31 |     2.7535953 |  0.0367928464506 |       497294.864862 |   0.0135749664282
      HAT-P-53b |  21.871105 |  38.968147 |      12.468 |    719.0 |         1.09 |           1.21 |      1.65073797875 |              5956.0 |   471.65972 |         14.773 |     1.9616241 |  0.0315660217883 |        2267265.9813 |   0.0125302640417
      HAT-P-54b |     99.898 |   25.48254 |      11.145 |    135.8 |         0.65 |           0.62 |     0.127917542192 |              4390.0 |    241.5508 |         10.581 |      3.799847 |  0.0413439970707 |        102416.33167 |   0.0244829427725
      HAT-P-55b | 264.273447 |  25.731186 |       12.02 |    480.0 |         1.01 |           1.01 |      1.04001074108 |              5808.0 |   184.97706 |         13.249 |     3.5852467 |  0.0459807113685 |       673209.886373 |   0.0144649527809
      HAT-P-56b | 100.848038 |  27.252293 |      10.068 |    310.5 |          1.3 |           1.43 |      3.40536944389 |              6566.0 |    692.8694 |         16.432 |     2.7908327 |  0.0423591357039 |       2597371.59581 |   0.0110994726459
       HAT-P-5b | 274.405476 |   36.62141 |      10.844 |    340.0 |         1.16 |           1.17 |      1.54755256268 |              5960.0 |      336.89 |          14.12 |      2.788491 |  0.0408055039249 |       1271955.59547 |    0.012243095513
      HAT-P-65b | 315.905487 |  11.989404 |      11.892 |    841.0 |         1.21 |           1.86 |      3.59317174784 |              5835.0 |   167.49641 |         21.185 |     2.6054552 |  0.0395276289985 |       3147316.94064 |    0.010904973534
      HAT-P-66b | 150.572632 |  53.950863 |      12.001 |    927.0 |         1.25 |           1.88 |      4.10949360732 |              6002.0 |   248.86089 |         17.822 |      2.972086 |   0.043799302606 |        2931689.3585 |  0.00755423946855
       HAT-P-6b | 354.774222 |  42.465973 |       9.558 |    261.0 |         1.29 |           1.46 |      3.55840877166 |              6570.0 |     335.932 |         14.908 |      3.852985 |  0.0522096541044 |        1786562.5935 |  0.00876448948346
       HAT-P-7b |  292.24731 |  47.969513 |       9.555 |    320.0 |         1.47 |           1.84 |      5.22080519943 |              6441.0 |   534.59006 |         16.713 |     2.2047372 |  0.0344821621315 |       6009143.04505 |  0.00693532388864
       HAT-P-8b | 343.041067 |  35.447109 |       9.214 |    230.0 |         1.28 |           1.58 |      3.30498565052 |              6200.0 |      483.08 |          16.81 |     3.0763776 |  0.0466554553707 |        2077919.6278 |  0.00951513206911
       HAT-P-9b | 110.168529 |  37.140652 |      11.274 |    480.0 |         1.28 |           1.32 |      2.53823255436 |              6350.0 |       247.9 |          15.69 |       3.92289 |  0.0527890690091 |       1246543.49486 |   0.0118765853038
       HATS-10b | 294.306813 | -22.204477 |      11.866 |    496.0 |          1.1 |            1.1 |      1.29593530346 |              5880.0 |   167.17858 |         10.862 |      3.312846 |  0.0446558694234 |       889385.930431 |  0.00819648775212
       HATS-11b | 289.400759 | -22.389926 |      12.647 |    906.0 |          1.0 |           1.44 |      2.50555607709 |              6060.0 |    270.1555 |         16.926 |     3.6191613 |  0.0460704602261 |       1615559.87479 |   0.0116138779184
       HATS-12b | 289.202397 | -19.355908 |      11.725 |    981.0 |         1.49 |           2.21 |      7.37841716548 |              6408.0 |    756.4354 |         15.132 |      3.142833 |  0.0479933178755 |       4383950.97803 |  0.00394095690246
       HATS-13b | 316.961465 | -26.096655 |      12.439 |    476.0 |         0.96 |           0.89 |     0.660341865806 |              5523.0 |   172.58169 |         13.585 |     3.0440499 |  0.0406418168892 |       547125.095351 |   0.0195854177747
       HATS-14b | 313.215479 | -25.687334 |      12.518 |    513.0 |         0.97 |           0.93 |     0.632951394618 |              5346.0 |   340.39593 |         11.646 |     2.7667641 |  0.0380572357973 |       598080.869893 |   0.0131819980208
